job_title,count,Replacement
Data Engineer,3162,Data Science Engineer
Data Scientist,3015,Data Scientist
Data Analyst,2189,Data Science Engineer
Data Architect,369,Data Science Manager
Data Science,205,Data Science Engineer
Data Manager,188,Data Science Manager
Data Science Manager,114,Data Science Manager
Data Science Consultant,79,Data Science Manager
Data Specialist,78,Data Science Engineer
Data Analytics Manager,56,Data Science Manager
Head of Data,49,Data Science Manager
Data Modeler,46,Data Science Engineer
Director of Data Science,33,Data Science Manager
Data Developer,30,Data Science Engineer
Data Product Manager,30,Data Science Manager
Data Science Lead,26,Data Science Manager
Data Strategist,24,Data Science Manager
Data Lead,24,Data Science Manager
Data Quality Analyst,24,Data Science Engineer
Data Science Engineer,23,Data Science Engineer
Data Operations Analyst,22,Data Science Engineer
Business Data Analyst,21,Data Science Engineer
Data Integration Specialist,21,Data Science Engineer
Data Integration Engineer,20,Data Science Engineer
Data Analytics Lead,18,Data Science Manager
Data Infrastructure Engineer,16,Data Science Engineer
Data Science Practitioner,16,Data Science Engineer
Data Management Analyst,16,Data Science Engineer
Data Operations Engineer,16,Data Science Engineer
Applied Data Scientist,13,Data Scientist
Cloud Database Engineer,13,Data Science Engineer
Big Data Engineer,12,Data Science Engineer
Head of Data Science,12,Data Science Manager
Data Visualization Specialist,12,Data Science Engineer
Principal Data Scientist,10,Data Scientist
Data Operations Specialist,10,Data Science Engineer
Lead Data Scientist,10,Data Scientist
Data Management Specialist,9,Data Science Engineer
Data Analytics Consultant,8,Data Science Engineer
Data Science Director,8,Data Science Manager
Lead Data Analyst,6,Data Science Manager
Data Product Owner,6,Data Science Manager
Product Data Analyst,6,Data Science Engineer
Lead Data Engineer,6,Data Science Manager
Data Analytics Specialist,6,Data Science Engineer
Data Quality Engineer,5,Data Science Engineer
Data Analytics Engineer,5,Data Science Engineer
Data Operations Associate,4,Data Science Engineer
Data Strategy Manager,4,Data Science Manager
Data Science Analyst,4,Data Science Engineer
Data Integration Developer,4,Data Science Engineer
Financial Data Analyst,4,Data Science Engineer
Cloud Data Engineer,4,Data Science Engineer
Data Visualization Engineer,4,Data Science Engineer
Data DevOps Engineer,3,Data Science Engineer
Admin & Data Analyst,3,Data Science Manager
Principal Data Engineer,3,Data Science Engineer
Staff Data Analyst,3,Data Science Engineer
Software Data Engineer,3,Data Science Engineer
Finance Data Analyst,3,Data Science Engineer
Principal Data Analyst,2,Data Science Engineer
Big Data Architect,2,Data Science Manager
Data Quality Manager,2,Data Science Manager
Compliance Data Analyst,2,Data Science Engineer
Encounter Data Management Professional,2,Data Science Manager
Managing Director Data Science,2,Data Science Manager
Data Modeller,2,Data Science Engineer
Data Reporting Analyst,2,Data Science Engineer
Business Intelligence Data Analyst,2,Data Science Engineer
Azure Data Engineer,2,Data Science Engineer
Staff Data Scientist,2,Data Scientist
Data Management Consultant,2,Data Science Manager
Data Scientist Lead,2,Data Science Manager
Data Pipeline Engineer,2,Data Science Engineer
Data Visualization Analyst,2,Data Science Engineer
Data Operations Manager,2,Data Science Manager
Data Analyst Lead,2,Data Science Manager
Marketing Data Analyst,2,Data Science Engineer
Manager Data Management,1,Data Science Manager
Sales Data Analyst,1,Data Science Engineer
Consultant Data Engineer,1,Data Science Manager
Principal Data Architect,1,Data Science Manager
Marketing Data Engineer,1,Data Science Engineer
Data Science Tech Lead,1,Data Science Manager
Big Data Developer,1,Data Science Engineer
Marketing Data Scientist,1,Data Scientist
Data Analytics Associate,1,Data Science Engineer
Cloud Data Architect,1,Data Science Manager
AWS Data Architect,1,Data Science Engineer
CRM Data Analyst,1,Data Science Engineer
