job_title,count,Replacement
Machine Learning Engineer,1705,Machine Learning Engineer
Machine Learning Scientist,124,Machine Learning Scientist
Machine Learning Infrastructure Engineer,33,Machine Learning Engineer
MLOps Engineer,21,Machine Learning Engineer
Machine Learning Researcher,21,Machine Learning Scientist
Machine Learning Software Engineer,15,Machine Learning Engineer
Applied Machine Learning Scientist,14,Machine Learning Scientist
Machine Learning Developer,8,Machine Learning Manager
Head of Machine Learning,7,Machine Learning Manager
Machine Learning Operations Engineer,7,Machine Learning Engineer
Lead Machine Learning Engineer,5,Machine Learning Manager
Machine Learning Research Engineer,5,Machine Learning Scientist
Machine Learning Manager,4,Machine Learning Manager
Applied Machine Learning Engineer,3,Machine Learning Engineer
Principal Machine Learning Engineer,3,Machine Learning Engineer
Machine Learning Ops Engineer,2,Machine Learning Engineer
Machine Learning Modeler,2,Machine Learning Engineer
Machine Learning Specialist,2,Machine Learning Engineer
Staff Machine Learning Engineer,1,Machine Learning Engineer
Deep Learning Engineer,12,Machine Learning Engineer
Deep Learning Researcher,1,Machine Learning Engineer
