job_title,count,Replacement
Research Scientist,475,Research Scientist
Analytics Engineer,403,Analytics Engineer
Applied Scientist,383,Research Scientist
Research Engineer,276,Research Engineer
Research Analyst,107,Research Analyst
Decision Scientist,38,Research Scientist
Computer Vision Engineer,32,Other
ETL Developer,28,Other
Prompt Engineer,17,Other
NLP Engineer,15,Other
Insight Analyst,12,Other
Robotics Software Engineer,8,Other
Robotics Engineer,6,Other
Computer Vision Software Engineer,5,Other
Computational Biologist,4,Other
ETL Engineer,3,Other
Autonomous Vehicle Technician,2,Other
Analytics Engineering Manager,1,Other
Applied Research Scientist,1,Other
Quantitative Research Analyst,1,Research Analyst
