job_title,count
Machine Learning Engineer,1705
Machine Learning Scientist,124
Machine Learning Infrastructure Engineer,33
MLOps Engineer,21
Machine Learning Researcher,21
Machine Learning Software Engineer,15
Applied Machine Learning Scientist,14
Machine Learning Developer,8
Head of Machine Learning,7
Machine Learning Operations Engineer,7
Lead Machine Learning Engineer,5
Machine Learning Research Engineer,5
Machine Learning Manager,4
Applied Machine Learning Engineer,3
Principal Machine Learning Engineer,3
Machine Learning Ops Engineer,2
Machine Learning Modeler,2
Machine Learning Specialist,2
Staff Machine Learning Engineer,1
